round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,27.0,0.0,12.624918729066849,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,35.0,0.0,25.678633153438568,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,10.0,0.0,9.32166212797165,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,4.0,0.0,3.8411898016929626,4.0,0.0,4.0,4.0
91,2,1,0,0.97,0.99,unknown,7.0,0.0,6.882509469985962,7.0,0.0,7.0,7.0
91,2,1,0,0.99,0.995,unknown,3.0,0.0,2.9796987771987915,3.0,0.0,3.0,3.0
91,2,1,0,0.995,1.0,unknown,10.0,0.0,9.982730507850647,10.0,0.0,10.0,10.0
91,2,1,1,0.0,0.6,oppose,94.0,4.0,42.51646913588047,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,73.0,4.0,53.51941502094269,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,19.0,3.0,17.605966985225677,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,7.0,3.0,6.738252282142639,7.0,3.0,4.1615601778030396,2.2816628217697144
91,2,1,1,0.97,0.99,oppose,11.0,4.0,10.806155800819397,11.0,4.0,6.698941290378571,3.9588503241539
91,2,1,1,0.99,0.995,oppose,5.0,2.0,4.968658983707428,5.0,2.0,3.359314203262329,1.9896903038024902
91,2,1,1,0.995,1.0,support,58.0,58.0,57.99748957157135,58.0,58.0,58.0,0.0
91,2,1,1,0.995,1.0,oppose,96.0,87.0,95.96895331144333,96.0,87.0,72.0421604514122,5.3936439752578735
91,2,1,2,0.0,0.6,support,46.0,28.0,22.65783366560936,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,460.0,182.0,219.6237354427576,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,173.0,121.0,136.9726369380951,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,718.0,403.0,545.3788942098618,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,93.0,74.0,86.29840111732483,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,oppose,223.0,155.0,206.505797624588,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,76.0,67.0,73.07501512765884,76.0,67.0,76.0,9.0
91,2,1,2,0.95,0.97,oppose,161.0,117.0,154.60068708658218,161.0,117.0,89.1258733868599,21.46050798892975
91,2,1,2,0.97,0.99,support,159.0,140.0,156.10953038930893,159.0,140.0,159.0,19.0
91,2,1,2,0.97,0.99,oppose,273.0,218.0,267.91209971904755,273.0,218.0,164.81237250566483,32.27368891239166
91,2,1,2,0.99,0.995,support,129.0,120.0,128.0635821223259,129.0,120.0,129.0,9.0
91,2,1,2,0.99,0.995,oppose,155.0,135.0,153.86079847812653,155.0,135.0,102.51791220903397,11.814482510089874
91,2,1,2,0.995,1.0,support,1595.0,1561.0,1594.0355808138847,1595.0,1561.0,1595.0,34.0
91,2,1,2,0.995,1.0,oppose,559.0,519.0,558.2049823403358,559.0,519.0,406.80896133184433,25.644095063209534
91,2,1,3,0.0,0.6,support,16.0,10.0,8.136501520872116,0.0,0.0,0.0,0.0
91,2,1,3,0.0,0.6,oppose,605.0,227.0,289.4987345933914,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,support,142.0,91.0,112.92026650905609,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,oppose,1071.0,503.0,815.2362252473831,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,support,75.0,53.0,69.72180652618408,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,oppose,291.0,169.0,269.4616210460663,0.0,0.0,0.0,0.0
91,2,1,3,0.95,0.97,support,63.0,46.0,60.51035672426224,63.0,46.0,63.0,17.0
91,2,1,3,0.95,0.97,oppose,196.0,124.0,188.3755014538765,196.0,124.0,119.20334655046463,42.778883934020996
91,2,1,3,0.97,0.99,support,132.0,94.0,129.6337170600891,132.0,94.0,132.0,38.0
91,2,1,3,0.97,0.99,oppose,302.0,201.0,296.3330565690994,302.0,201.0,192.2760547399521,61.569839894771576
91,2,1,3,0.99,0.995,support,95.0,79.0,94.3110122680664,95.0,79.0,95.0,16.0
91,2,1,3,0.99,0.995,oppose,129.0,97.0,128.07338255643845,129.0,97.0,90.09123414754868,22.889706432819366
91,2,1,3,0.995,1.0,support,910.0,827.0,909.3046040534973,910.0,827.0,910.0,83.0
91,2,1,3,0.995,1.0,oppose,426.0,355.0,425.3674256801605,426.0,355.0,310.72329181432724,50.88764715194702
91,2,1,4,0.0,0.6,support,27.0,14.0,14.373220473527908,0.0,0.0,0.0,0.0
91,2,1,4,0.0,0.6,oppose,366.0,210.0,175.87533885240555,0.0,0.0,0.0,0.0
91,2,1,4,0.6,0.9,support,116.0,84.0,91.77168929576874,0.0,0.0,0.0,0.0
91,2,1,4,0.6,0.9,oppose,680.0,449.0,518.9346382021904,0.0,0.0,0.0,0.0
91,2,1,4,0.9,0.95,support,59.0,40.0,54.688905000686646,0.0,0.0,0.0,0.0
91,2,1,4,0.9,0.95,oppose,206.0,161.0,190.62464946508408,0.0,0.0,0.0,0.0
91,2,1,4,0.95,0.97,support,56.0,45.0,53.82041674852371,56.0,45.0,56.0,11.0
91,2,1,4,0.95,0.97,oppose,153.0,119.0,146.98131865262985,153.0,119.0,101.04073631763458,22.056879103183746
91,2,1,4,0.97,0.99,support,134.0,116.0,131.61287558078766,134.0,116.0,134.0,18.0
91,2,1,4,0.97,0.99,oppose,265.0,215.0,259.98207634687424,265.0,215.0,180.5852547287941,33.84007275104523
91,2,1,4,0.99,0.995,support,84.0,74.0,83.39420372247696,84.0,74.0,84.0,10.0
91,2,1,4,0.99,0.995,oppose,146.0,123.0,144.9505968093872,146.0,123.0,103.74021291732788,14.972420990467072
91,2,1,4,0.995,1.0,support,1079.0,1055.0,1078.3018001317978,1079.0,1055.0,1079.0,24.0
91,2,1,4,0.995,1.0,oppose,404.0,375.0,403.45027154684067,404.0,375.0,309.1757788658142,20.581202805042267
91,2,1,5,0.0,0.6,support,35.0,15.0,17.807339310646057,0.0,0.0,0.0,0.0
91,2,1,5,0.0,0.6,oppose,458.0,181.0,219.63749553263187,0.0,0.0,0.0,0.0
91,2,1,5,0.6,0.9,support,158.0,84.0,123.15429025888443,0.0,0.0,0.0,0.0
91,2,1,5,0.6,0.9,oppose,772.0,377.0,585.4539772868156,0.0,0.0,0.0,0.0
91,2,1,5,0.9,0.95,support,95.0,58.0,88.05009537935257,0.0,0.0,0.0,0.0
91,2,1,5,0.9,0.95,oppose,208.0,131.0,192.52583038806915,0.0,0.0,0.0,0.0
91,2,1,5,0.95,0.97,support,79.0,54.0,75.83189594745636,79.0,54.0,79.0,25.0
91,2,1,5,0.95,0.97,oppose,110.0,73.0,105.62572121620178,110.0,73.0,78.78985524177551,25.37559413909912
91,2,1,5,0.97,0.99,support,204.0,154.0,200.37787663936615,204.0,154.0,204.0,50.0
91,2,1,5,0.97,0.99,oppose,219.0,167.0,214.97363829612732,219.0,167.0,165.4861409664154,37.78449368476868
91,2,1,5,0.99,0.995,support,157.0,128.0,155.8674811720848,157.0,128.0,157.0,29.0
91,2,1,5,0.99,0.995,oppose,92.0,74.0,91.31354457139969,92.0,74.0,69.91910803318024,12.856705844402313
91,2,1,5,0.995,1.0,support,1833.0,1741.0,1831.875016450882,1833.0,1741.0,1833.0,92.0
91,2,1,5,0.995,1.0,oppose,368.0,334.0,367.5719926953316,368.0,334.0,298.0094960927963,27.217896342277527
91,2,1,6,0.0,0.6,oppose,200.0,0.0,92.3114094287157,0.0,0.0,0.0,0.0
91,2,1,6,0.6,0.9,support,2.0,1.0,1.616758644580841,0.0,0.0,0.0,0.0
91,2,1,6,0.6,0.9,oppose,244.0,2.0,184.42539751529694,0.0,0.0,0.0,0.0
91,2,1,6,0.9,0.95,oppose,50.0,1.0,46.33101814985275,0.0,0.0,0.0,0.0
91,2,1,6,0.95,0.97,support,1.0,0.0,0.9544894695281982,1.0,0.0,1.0,1.0
91,2,1,6,0.95,0.97,oppose,41.0,3.0,39.36095434427261,41.0,3.0,25.47303944826126,23.163645088672638
91,2,1,6,0.97,0.99,support,1.0,1.0,0.9884832501411438,1.0,1.0,1.0,0.0
91,2,1,6,0.97,0.99,oppose,42.0,5.0,41.227823138237,42.0,5.0,26.990335285663605,23.14453512430191
91,2,1,6,0.99,0.995,support,5.0,4.0,4.967372000217438,5.0,4.0,5.0,1.0
91,2,1,6,0.99,0.995,oppose,23.0,7.0,22.83939415216446,23.0,7.0,15.842321157455444,10.50411969423294
91,2,1,6,0.995,1.0,support,93.0,83.0,92.98088186979294,93.0,83.0,93.0,10.0
91,2,1,6,0.995,1.0,oppose,120.0,71.0,119.85662710666656,120.0,71.0,93.95145171880722,36.19256865978241
91,2,1,7,0.0,0.6,support,5.0,3.0,2.498674839735031,0.0,0.0,0.0,0.0
91,2,1,7,0.0,0.6,oppose,373.0,112.0,178.51431453227997,0.0,0.0,0.0,0.0
91,2,1,7,0.6,0.9,support,22.0,14.0,17.850251257419586,0.0,0.0,0.0,0.0
91,2,1,7,0.6,0.9,oppose,600.0,304.0,457.92288386821747,0.0,0.0,0.0,0.0
91,2,1,7,0.9,0.95,support,16.0,11.0,14.931398868560791,0.0,0.0,0.0,0.0
91,2,1,7,0.9,0.95,oppose,183.0,107.0,169.56466603279114,0.0,0.0,0.0,0.0
91,2,1,7,0.95,0.97,support,13.0,12.0,12.514993727207184,13.0,12.0,13.0,1.0
91,2,1,7,0.95,0.97,oppose,130.0,85.0,124.98873716592789,130.0,85.0,74.01077622175217,24.8149231672287
91,2,1,7,0.97,0.99,support,82.0,73.0,80.61667835712433,82.0,73.0,82.0,9.0
91,2,1,7,0.97,0.99,oppose,259.0,190.0,254.21452564001083,259.0,190.0,157.3116505742073,38.76959449052811
91,2,1,7,0.99,0.995,support,68.0,58.0,67.51210641860962,68.0,58.0,68.0,10.0
91,2,1,7,0.99,0.995,oppose,167.0,137.0,165.78055894374847,167.0,137.0,108.72649329900742,17.380780458450317
91,2,1,7,0.995,1.0,support,2358.0,2304.0,2357.2575350403786,2358.0,2304.0,2358.0,54.0
91,2,1,7,0.995,1.0,oppose,820.0,773.0,819.103189945221,820.0,773.0,595.9122061133385,34.07932072877884
91,2,1,8,0.0,0.6,unknown,20.0,0.0,9.135849073529243,0.0,0.0,0.0,0.0
91,2,1,8,0.6,0.9,unknown,13.0,0.0,9.464620769023895,0.0,0.0,0.0,0.0
91,2,1,8,0.9,0.95,unknown,3.0,0.0,2.7852996587753296,0.0,0.0,0.0,0.0
91,2,1,8,0.95,0.97,unknown,1.0,0.0,0.9619606137275696,1.0,0.0,1.0,1.0
91,2,1,8,0.97,0.99,unknown,1.0,0.0,0.9736543893814087,1.0,0.0,1.0,1.0
91,2,1,8,0.995,1.0,unknown,1.0,0.0,0.9993743300437927,1.0,0.0,1.0,1.0
91,2,1,9,0.0,0.6,unknown,40.0,0.0,17.831186309456825,0.0,0.0,0.0,0.0
91,2,1,9,0.6,0.9,unknown,22.0,0.0,16.37263911962509,0.0,0.0,0.0,0.0
91,2,1,9,0.9,0.95,unknown,2.0,0.0,1.833383858203888,0.0,0.0,0.0,0.0
91,2,1,9,0.95,0.97,unknown,1.0,0.0,0.963386058807373,1.0,0.0,1.0,1.0
91,2,1,9,0.97,0.99,unknown,3.0,0.0,2.929788589477539,3.0,0.0,3.0,3.0
91,2,3,0,0.0,0.6,support,2.0,0.0,1.0612602233886719,0.0,0.0,0.0,0.0
91,2,3,0,0.0,0.6,oppose,177.0,2.0,87.73101308941841,0.0,0.0,0.0,0.0
91,2,3,0,0.6,0.9,support,13.0,1.0,10.585227310657501,0.0,0.0,0.0,0.0
91,2,3,0,0.6,0.9,oppose,273.0,5.0,209.34271490573883,0.0,0.0,0.0,0.0
91,2,3,0,0.9,0.95,support,6.0,1.0,5.55626654624939,0.0,0.0,0.0,0.0
