round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.6678
62,0.7337
63,0.7345
64,0.7457
65,0.7059
66,0.6949
67,0.7479
68,0.6962
69,0.7446
70,0.7621
71,0.7597
72,0.7789
73,0.7866
74,0.7751
75,0.7785
76,0.7905
77,0.7535
78,0.7633
79,0.7738
80,0.7859
81,0.7879
82,0.7804
83,0.7698
84,0.7702
85,0.7966
86,0.7882
87,0.7954
88,0.8016
89,0.7875
90,0.7827
91,0.7883
92,0.8014
93,0.7981
94,0.7826
95,0.7951
96,0.7977
97,0.8
98,0.8004
99,0.8051
100,0.8064
101,0.8094
102,0.8081
103,0.8091
104,0.8121
105,0.8098
106,0.8116
107,0.8085
108,0.8211
109,0.8016
110,0.8091
111,0.7912
112,0.8035
113,0.8076
114,0.8202
115,0.8133
116,0.8214
117,0.8139
118,0.8219
119,0.8095
120,0.8219
121,0.8271
122,0.8212
123,0.8147
124,0.8287
125,0.8223
126,0.8376
127,0.8263
128,0.8329
129,0.8316
130,0.8135
131,0.8373
132,0.8422
133,0.8329
134,0.8194
135,0.8362
136,0.8383
137,0.8237
138,0.8301
139,0.8391
140,0.8318
141,0.8374
142,0.8423
143,0.834
144,0.8464
145,0.8296
146,0.8384
147,0.8402
148,0.8439
149,0.8448
150,0.85
151,0.8345
152,0.8444
153,0.834
154,0.8296
155,0.8459
156,0.8419
157,0.835
158,0.8403
159,0.8301
160,0.8377
161,0.8348
162,0.8429
163,0.8472
164,0.846
165,0.8506
166,0.8398
167,0.8471
168,0.8511
169,0.8579
170,0.8515
171,0.8398
172,0.8467
173,0.8465
